bias,variance,rate,cost,violation,min_altitude
-4.0,0.2,2.0,-1.22832481101606,True,3.7025430383983475
-4.0,0.2,2.5454545454545454,-1.242953218449429,True,4.518561709754583
-4.0,0.2,3.090909090909091,-1.4804312055584823,True,3.402500315966927
-4.0,0.2,3.6363636363636362,-1.1928608292331346,True,4.19085653534332
-4.0,0.2,4.181818181818182,-1.6846522050116781,True,3.5866278167813044
-4.0,0.2,4.727272727272727,-1.7610352167925347,True,3.006099906422337
-4.0,0.2,5.2727272727272725,-1.6796188246345007,True,2.3637410530366
-4.0,0.2,5.818181818181818,-2.102921713760356,True,2.615934521619158
-4.0,0.2,6.363636363636363,-1.9543696878364492,True,3.202753978461188
-4.0,0.2,6.909090909090908,-1.8925303944268839,True,2.4013177549054703
-4.0,0.2,7.454545454545454,-1.350679344276132,True,3.5364325054806
-4.0,0.2,8.0,-1.5497596889187322,True,2.737866217974539
-4.0,0.5454545454545454,2.0,-1.5401805501597068,True,3.5152807446952266
-4.0,0.5454545454545454,2.5454545454545454,-1.7063260051903915,True,3.4815230039824447
-4.0,0.5454545454545454,3.090909090909091,-1.6573646322339397,True,3.196788492869422
-4.0,0.5454545454545454,3.6363636363636362,-1.7326810784168558,True,4.193458013837613
-4.0,0.5454545454545454,4.181818181818182,-1.697093136408638,True,2.7740513991134117
-4.0,0.5454545454545454,4.727272727272727,-1.607479059445768,True,2.782099115568721
-4.0,0.5454545454545454,5.2727272727272725,-1.78987492358312,True,2.230290014476992
-4.0,0.5454545454545454,5.818181818181818,-2.127211720673799,True,2.971218897260763
-4.0,0.5454545454545454,6.363636363636363,-1.7077465114068457,True,3.377937629188139
-4.0,0.5454545454545454,6.909090909090908,-1.8376915994366534,True,3.011756552768702
-4.0,0.5454545454545454,7.454545454545454,-2.043149859770292,True,2.5969280360323537
-4.0,0.5454545454545454,8.0,-1.7590294476846378,True,3.76953166542482
-4.0,0.8909090909090909,2.0,-1.4662167109773416,True,2.6522632113412916
-4.0,0.8909090909090909,2.5454545454545454,-1.5149468594633357,True,3.292512000328506
-4.0,0.8909090909090909,3.090909090909091,-1.776257657947734,True,3.5295804864727
-4.0,0.8909090909090909,3.6363636363636362,-1.50977621510815,True,3.9558638444499494
-4.0,0.8909090909090909,4.181818181818182,-1.9658735597419426,True,2.87952025233245
-4.0,0.8909090909090909,4.727272727272727,-1.8093717192220566,True,3.678400844339123
-4.0,0.8909090909090909,5.2727272727272725,-2.0311188537894926,True,2.8760516578785986
-4.0,0.8909090909090909,5.818181818181818,-2.1864778693316826,True,2.215418818627982
-4.0,0.8909090909090909,6.363636363636363,-1.7965710265634518,True,3.8815489877219593
-4.0,0.8909090909090909,6.909090909090908,-1.9326003309114357,True,3.569166118034576
-4.0,0.8909090909090909,7.454545454545454,-1.7787546203236433,True,2.8986855023737945
-4.0,0.8909090909090909,8.0,-1.6982589360273614,True,4.070759347205623
-4.0,1.2363636363636363,2.0,-1.6457419403493878,True,4.136579887557615
-4.0,1.2363636363636363,2.5454545454545454,-2.2073490377966074,True,3.2036022143910046
-4.0,1.2363636363636363,3.090909090909091,-1.7271002078752717,True,3.1233961168917945
-4.0,1.2363636363636363,3.6363636363636362,-1.8012603279366033,True,2.2049552147629505
-4.0,1.2363636363636363,4.181818181818182,-1.9456007963012807,True,3.2329554894545924
-4.0,1.2363636363636363,4.727272727272727,-1.6836819601908295,True,3.057182930672347
-4.0,1.2363636363636363,5.2727272727272725,-2.200619090435436,True,2.5485023877722957
-4.0,1.2363636363636363,5.818181818181818,-1.8857668146264255,True,3.278608740203417
-4.0,1.2363636363636363,6.363636363636363,-2.1686645954320625,True,3.0879691211246154
-4.0,1.2363636363636363,6.909090909090908,-2.002419160362124,True,3.4819033349043202
-4.0,1.2363636363636363,7.454545454545454,-2.095128807745004,True,2.741040118956112
-4.0,1.2363636363636363,8.0,-1.9525960513918394,True,2.3156464745421013
-4.0,1.5818181818181818,2.0,-1.6829890407508459,True,3.4475385953390987
-4.0,1.5818181818181818,2.5454545454545454,-1.78601368928653,True,3.096692744025897
-4.0,1.5818181818181818,3.090909090909091,-2.1312201335693524,True,2.6584572050479682
-4.0,1.5818181818181818,3.6363636363636362,-1.9917917501854214,True,2.607069615203769
-4.0,1.5818181818181818,4.181818181818182,-2.0375599247033436,True,3.1644655037039255
-4.0,1.5818181818181818,4.727272727272727,-1.7056599525333906,True,3.381628953882529
-4.0,1.5818181818181818,5.2727272727272725,-2.091046655348609,True,2.8717303867683075
-4.0,1.5818181818181818,5.818181818181818,-2.5562378448630123,True,2.4305052174123793
-4.0,1.5818181818181818,6.363636363636363,-2.1543028763268137,True,4.07731817991583
-4.0,1.5818181818181818,6.909090909090908,-2.1639432268243204,True,2.986830444342486
-4.0,1.5818181818181818,7.454545454545454,-2.065296906546946,True,2.350364074643288
-4.0,1.5818181818181818,8.0,-1.7492462214987672,True,3.62672029484462
-4.0,1.9272727272727272,2.0,-1.6876430703915153,True,2.857663202211115
-4.0,1.9272727272727272,2.5454545454545454,-1.6101138820641656,True,2.688960586539694
-4.0,1.9272727272727272,3.090909090909091,-1.834410930035579,True,4.26081688286941
-4.0,1.9272727272727272,3.6363636363636362,-2.2249924755425687,True,2.4918586596560455
-4.0,1.9272727272727272,4.181818181818182,-2.0890088729889773,True,2.659253299952923
-4.0,1.9272727272727272,4.727272727272727,-2.496666182625087,True,2.5376153047779266
-4.0,1.9272727272727272,5.2727272727272725,-2.4586538398747466,True,2.7781423754428443
-4.0,1.9272727272727272,5.818181818181818,-2.460004812286328,True,3.3149623902224414
-4.0,1.9272727272727272,6.363636363636363,-2.4266359404186297,True,2.4123333014785326
-4.0,1.9272727272727272,6.909090909090908,-2.0664039540305255,True,2.318163887752497
-4.0,1.9272727272727272,7.454545454545454,-2.1164989293214354,True,3.537072447819779
-4.0,1.9272727272727272,8.0,-2.4029437949503807,True,2.6893731343157716
-4.0,2.272727272727273,2.0,-1.8975092645868037,True,3.4934021713018515
-4.0,2.272727272727273,2.5454545454545454,-2.2416992500633657,True,2.0980724433944964
-4.0,2.272727272727273,3.090909090909091,-1.9510303993086173,True,3.1974619373079753
-4.0,2.272727272727273,3.6363636363636362,-2.08042300408362,True,3.092801100664868
-4.0,2.272727272727273,4.181818181818182,-2.3485804539585677,True,2.767546394621934
-4.0,2.272727272727273,4.727272727272727,-2.2315553653884876,True,2.4112689255983284
-4.0,2.272727272727273,5.2727272727272725,-1.9766745585369383,True,3.2602419019189552
-4.0,2.272727272727273,5.818181818181818,-2.6180170285164612,True,2.710259775800454
-4.0,2.272727272727273,6.363636363636363,-2.5685579796332103,True,2.8249843222380155
-4.0,2.272727272727273,6.909090909090908,-2.1010246453393426,True,2.488634195484802
-4.0,2.272727272727273,7.454545454545454,-2.0729520540297606,True,3.1334384094384884
-4.0,2.272727272727273,8.0,-2.0206714796756007,True,3.927725011651373
-4.0,2.618181818181818,2.0,-2.1021998102734263,True,2.520932107547829
-4.0,2.618181818181818,2.5454545454545454,-2.2758483574492177,True,2.316246500068063
-4.0,2.618181818181818,3.090909090909091,-2.1744754179511814,True,2.9961005694571408
-4.0,2.618181818181818,3.6363636363636362,-2.1788197779231546,True,3.234771846594857
-4.0,2.618181818181818,4.181818181818182,-2.3136114949036517,True,3.413155543675007
-4.0,2.618181818181818,4.727272727272727,-2.4467375903321784,True,3.913346992962631
-4.0,2.618181818181818,5.2727272727272725,-2.328332354849252,True,2.243088866942607
-4.0,2.618181818181818,5.818181818181818,-2.697571192324517,True,2.5436650152970754
-4.0,2.618181818181818,6.363636363636363,-2.52195056628928,True,2.835049680756766
-4.0,2.618181818181818,6.909090909090908,-2.341732599862478,True,2.6218529438090856
-4.0,2.618181818181818,7.454545454545454,-2.5386223871286697,True,1.703954000528398
-4.0,2.618181818181818,8.0,-2.3780228657242666,True,3.0501765314374696
-4.0,2.963636363636364,2.0,-2.1139398018831748,True,2.2631908087608315
-4.0,2.963636363636364,2.5454545454545454,-2.1669456499902404,True,3.025713039874178
-4.0,2.963636363636364,3.090909090909091,-2.439462926944951,True,2.637399626027813
-4.0,2.963636363636364,3.6363636363636362,-2.326152557736322,True,2.1023622933483663
-4.0,2.963636363636364,4.181818181818182,-2.34829076484594,True,2.9321014983381772
-4.0,2.963636363636364,4.727272727272727,-2.280832338685896,True,3.2460686873315554
-4.0,2.963636363636364,5.2727272727272725,-2.832636061630035,True,1.6984514184124038
-4.0,2.963636363636364,5.818181818181818,-2.4840220029069267,True,2.772870972549178
-4.0,2.963636363636364,6.363636363636363,-2.477884835599264,True,4.448480909728096
-4.0,2.963636363636364,6.909090909090908,-2.425838386274917,True,3.1419444338153824
-4.0,2.963636363636364,7.454545454545454,-2.2820996544527117,True,3.043595971200187
-4.0,2.963636363636364,8.0,-2.455410087875295,True,2.9240745223713387
-4.0,3.3090909090909095,2.0,-2.4149599572530933,True,2.4666307393769022
-4.0,3.3090909090909095,2.5454545454545454,-2.402290908362661,True,2.6386461613305006
-4.0,3.3090909090909095,3.090909090909091,-1.9033960900063862,True,2.1629713136977395
-4.0,3.3090909090909095,3.6363636363636362,-2.304178626986983,True,1.8894634374181911
-4.0,3.3090909090909095,4.181818181818182,-2.617870973709847,True,2.926604324773836
-4.0,3.3090909090909095,4.727272727272727,-2.5882229471382225,True,1.8729046638971245
-4.0,3.3090909090909095,5.2727272727272725,-2.803799293526974,True,2.5359995809403637
-4.0,3.3090909090909095,5.818181818181818,-2.8367387463284492,True,2.271490548462538
-4.0,3.3090909090909095,6.363636363636363,-2.6754163685160743,True,1.998783457681017
-4.0,3.3090909090909095,6.909090909090908,-2.214864034184849,True,3.1020954769741564
-4.0,3.3090909090909095,7.454545454545454,-2.981564888119237,True,2.111662269265477
-4.0,3.3090909090909095,8.0,-2.628349895537267,True,2.797866771860845
-4.0,3.6545454545454548,2.0,-2.522535425668483,True,2.4200963535980673
-4.0,3.6545454545454548,2.5454545454545454,-2.3078571066371127,True,3.125020490447948
-4.0,3.6545454545454548,3.090909090909091,-2.7100234483886068,True,2.122725933690919
-4.0,3.6545454545454548,3.6363636363636362,-2.640056090930441,True,2.0332792927827033
-4.0,3.6545454545454548,4.181818181818182,-2.2740301161321046,True,2.928460739348373
